client_id,datetime,code,type,amount,target
16004843,245 22:10:18,5411,1010,-7928.08,0
20873616,433 07:44:21,4814,1030,-56.15,0
65231233,164 15:58:23,5411,1010,-4689.47,1
29536165,413 11:47:51,5411,1010,-3703.52,1
66473821,280 05:17:26,6010,7030,67377.47,1
87252636,210 17:57:24,6010,7071,37484.33,0
12925117,280 16:51:39,5499,1010,-4065.11,1
46272734,274 05:20:12,4829,2330,-112295.79,0
36694774,330 07:46:53,4814,1030,-6737.75,0
34147053,189 00:00:00,6012,6110,222345.66,0
37134646,378 10:18:44,6011,2010,-8983.66,1
51052611,332 17:29:24,6010,2021,-78607.05,1
68813350,378 08:06:36,4829,2370,-112295.79,1
45249788,115 11:03:18,6010,7031,224591.58,0
20993674,15 11:15:01,6011,2010,-112295.79,0
84801428,6 12:59:26,5499,1010,-2576.07,0
370258,257 20:37:35,6010,7070,67377.47,0
57224158,349 04:50:45,6010,7070,9432.85,1
30737905,222 17:27:55,5977,1010,-20680.39,0
5030933,102 14:40:52,5411,1010,-31085.27,0
5591410,429 11:50:25,5411,1110,-5816.92,0
6419331,434 17:38:21,5499,1010,-1392.47,1
55115986,31 13:11:47,6011,7010,359346.52,1
44764576,431 19:16:44,4511,1100,-230430.96,1
23566557,188 08:56:16,4814,1030,-4491.83,1
7443671,383 20:29:50,5812,1010,-4244.78,0
19309943,372 11:33:37,5814,1110,-30634.29,1
23899213,119 08:03:13,6010,7070,25154.26,0
49584873,343 15:58:50,6011,2010,-22459.16,0
5306200,380 20:20:01,5411,1010,-2293.53,1
56988646,202 14:09:18,5411,1010,-9179.06,1
11946025,5 08:04:34,5311,1110,-134305.76,0
94574329,436 16:47:42,4829,2370,-2470.51,1
79937759,441 10:43:06,5812,1010,-5053.31,1
10171705,272 17:54:01,4829,4071,-112.3,1
22564064,367 11:52:47,5691,1010,-11184.66,1
47937805,289 10:37:55,6011,2010,-8983.66,0
25519406,432 09:34:02,8999,1010,-17742.73,1
87902560,27 11:23:51,4814,1030,-1122.96,0
61758325,209 12:59:33,6011,2010,-11229.58,1
84323633,183 12:56:58,6010,7071,4491.83,1
21264160,126 09:33:51,6011,2010,-112295.79,0
30848325,267 12:09:31,6011,2010,-22459.16,0
41227639,381 17:04:14,4829,2331,-22459.16,0
89788126,408 15:22:49,5411,1010,-70409.46,1
4893642,436 09:37:29,6011,2010,-78607.05,1
62253980,77 18:48:29,6011,2010,-22459.16,0
13575882,443 22:01:47,6010,7070,2245.92,0
18872798,124 04:45:33,4829,2370,-1532.84,1
53307951,363 00:00:00,5661,1110,-22885.88,0
11585045,90 19:28:11,4814,1030,-1122.96,0
76475250,91 13:20:36,6011,2010,-1347549.46,0
65895165,193 08:49:27,6010,7030,21336.2,0
78066879,345 20:57:01,5983,1010,-22452.64,1
43381506,424 16:02:58,5812,1010,-58169.22,0
96477182,422 19:47:08,5912,1010,-10465.97,0
94426973,21 09:24:06,4829,4071,-673.77,1
48434170,441 21:36:02,6010,7070,2245.92,0
33743239,314 10:53:33,5411,1010,-102697.64,0
44349687,44 18:25:55,4814,1030,-1122.96,0
52674999,6 15:11:26,6010,7021,5951676.8,0
34846340,49 19:03:50,6011,7010,300952.71,0
33709652,4 10:23:46,4814,1030,-22459.16,1
25270793,279 15:33:58,6010,7030,13812.38,1
21376002,372 15:19:06,5311,1110,-1886.57,0
77335574,115 13:56:56,4814,1030,-1347.55,1
6231503,106 00:00:00,5964,1200,-9705.73,0
64936619,69 00:00:00,7298,1110,-30319.86,0
29801711,335 00:00:00,5411,1110,-35283.34,0
16810200,289 14:06:27,5977,1010,-3088.13,1
27024566,181 17:22:54,4814,1030,-2201.0,0
58157369,262 20:45:41,5912,1010,-9915.72,1
91301143,204 21:34:24,5411,1110,-11162.2,0
16920927,451 15:34:34,5411,1010,-3256.58,0
12746283,323 12:04:37,5411,1110,-13089.65,0
8610584,322 00:00:00,4900,1100,-62419.61,1
20857038,248 09:42:57,4829,2370,-33688.74,1
99414663,35 11:29:29,5411,1010,-13395.99,0
42093341,248 13:09:15,6010,7070,67377.47,1
11139526,408 11:14:06,4814,1030,-2245.92,0
57523145,252 09:46:43,4814,1030,-1122.96,0
81863717,300 14:59:44,4829,2370,-11229.58,0
82070267,20 17:48:29,5912,1010,-1760.8,1
96626493,12 15:28:30,5411,1010,-23177.85,0
56075018,293 00:00:00,5964,1200,-21988.41,1
56694753,176 08:49:56,6010,7070,2245.92,1
8942066,315 08:05:54,6011,2010,-15721.41,1
31360931,204 00:00:00,5411,1110,-3514.86,1
85494965,273 00:00:00,5411,1110,-12970.16,1
58754755,126 13:11:13,5812,1110,-5614.79,1
20646461,30 17:04:56,5661,1010,-61762.68,1
24644305,409 12:01:00,6010,7070,291969.05,0
94426973,170 12:42:08,4829,2371,-172171.9,0
97837122,314 08:21:43,6011,2010,-29196.91,0
7219212,206 14:45:07,6011,7010,449183.15,1
65526075,303 09:31:25,6011,2010,-6737.75,0
94574329,456 19:06:44,5411,1110,-1163.38,0
35494033,175 06:15:35,6011,7010,999432.52,1
23823898,449 00:00:00,5813,1110,-6737.75,0
3743929,276 00:00:00,5074,1110,-33464.15,1
78076605,422 00:00:00,5681,1110,-44918.32,1
58970569,296 00:00:00,5411,1110,-2400.88,1
9897478,211 14:00:37,5499,1010,-6739.32,1
60991319,406 15:19:12,6011,2010,-8983.66,1
87937371,304 11:53:58,5411,1010,-2239.18,0
65221973,456 00:00:00,5541,1110,-15362.06,0
43018886,136 00:00:00,5912,1110,-6753.92,1
3294989,447 17:45:13,4814,1030,-1122.96,0
69465540,309 00:00:00,5964,1200,-880.85,0
71256126,134 15:13:52,5411,1110,-14987.67,1
43506939,241 10:19:15,5331,1010,-1347.55,0
12854702,342 10:14:24,4829,4071,-269.51,1
85861930,430 07:47:58,6010,7070,7074.63,0
56000545,160 14:56:21,5912,1010,-667.04,0
28954627,244 19:22:15,4814,1030,-4491.83,1
93533984,318 10:33:55,4829,2330,-336887.37,0
26604313,384 11:21:34,6011,7011,112295.79,0
36599781,306 11:30:15,5411,1010,-1684.21,0
94018403,262 15:23:28,5541,1110,-22459.16,0
70665012,188 14:22:28,4814,1030,-6737.75,1
70780820,434 03:23:34,6010,7070,15092.55,0
74334566,187 16:36:30,6011,7010,134754.95,0
70780820,288 05:43:22,6010,7071,14149.27,1
59120963,372 00:00:00,5311,6110,31397.9,0
81479825,28 14:00:41,5983,1010,-33363.75,0
70780820,262 11:09:18,6010,7070,5322.82,0
23188180,397 21:04:00,5331,1010,-1774.27,0
65309740,341 14:37:48,6010,7020,6737.75,1
20852671,19 00:00:00,5943,1110,-13273.36,0
86227647,108 11:05:51,6011,2010,-44918.32,0
49543927,358 19:05:51,6011,2010,-8983.66,1
97968421,251 08:00:03,6010,7030,56147.89,1
76510478,172 08:31:52,4829,2371,-24907.21,1
13182172,230 20:11:41,6010,7070,13475.49,0
96275300,189 12:56:43,5331,1010,-1347.55,1
82247147,192 02:55:32,4814,1030,-6737.75,1
5987772,202 22:08:27,4814,1030,-1122.96,0
93798164,301 00:00:00,5541,1110,-11228.91,0
59233664,231 15:30:00,4829,4051,-4491.83,0
2381924,340 00:00:00,8011,1110,-21111.61,0
2865095,88 00:00:00,5411,1110,-15889.85,0
58478564,213 12:12:03,5722,1010,-3031.99,0
68530030,76 05:08:28,5812,1010,-1190.34,0
92326906,441 16:33:03,6011,2010,-65131.56,1
48355809,257 00:00:00,5411,1110,-19143.96,1
81173369,15 17:02:23,6011,2010,-40426.48,0
95335790,330 11:13:49,5411,1110,-671.53,0
26511631,456 11:52:15,5261,1110,-219827.99,0
74259432,295 16:30:18,4814,1030,-1122.96,1
5932441,119 15:30:42,4829,2370,-22459.16,1
26422855,189 05:09:01,6011,7010,11229.58,1
85781818,56 13:46:55,6011,2010,-673774.73,0
74250583,131 08:16:11,5499,1010,-1527.22,0
1976337,320 14:55:16,5599,1110,-27198.04,0
92692871,371 00:00:00,5691,1110,-22436.7,0
23654718,349 00:00:00,5411,1110,-1619.31,0
70665012,381 00:00:00,6012,6110,53901.98,0
28565033,232 19:35:10,5499,1110,-8220.05,0
50762315,407 10:19:53,4814,1030,-26950.99,0
44570920,199 21:26:10,4829,2330,-404264.84,0
86377597,178 13:18:52,5541,1110,-43068.35,1
91128848,150 13:23:43,5499,1010,-10329.87,0
34997570,315 14:05:04,4814,1030,-1122.96,0
6186589,299 15:31:60,4814,1030,-1347.55,1
82881815,316 17:15:25,5411,1010,-15800.02,0
41426070,251 00:00:00,5411,1110,-99316.87,1
22450434,413 04:48:06,6011,2010,-53901.98,0
450407,109 16:45:16,6010,7070,21336.2,1
76770632,393 14:00:25,4814,1030,-6737.75,0
9497605,96 00:00:00,5732,1110,-77484.09,0
81673597,263 10:25:18,7311,1100,-6962.34,0
84203354,308 19:59:36,5541,1010,-7344.14,1
18501812,92 10:14:23,6011,2010,-31442.82,1
13324952,31 15:13:40,4814,1030,-1122.96,0
11691762,228 00:00:00,5411,1110,-8736.61,1
49220108,350 00:00:00,5411,1110,-2243.67,0
69396837,60 13:56:27,6011,2010,-110049.87,1
76606773,314 06:12:30,5541,1010,-11225.31,0
92794277,3 20:03:19,5631,1110,-8467.1,1
49914960,284 15:10:26,6011,7010,179673.26,0
17518271,413 09:01:60,6010,7070,29107.07,0
79206023,334 12:58:20,6011,2010,-2245.92,1
97187090,77 15:47:13,4814,1030,-19090.28,0
82382602,385 15:04:26,6011,2010,-112295.79,0
54888680,415 13:24:01,6010,7070,4559.21,1
26358410,349 11:38:50,5411,1110,-10730.99,1
45099272,89 14:09:29,5411,1110,-1537.33,1
25537795,363 18:18:21,6011,2010,-22459.16,0
9045235,289 19:49:00,6011,2010,-44918.32,0
63299169,85 12:53:53,5983,1010,-11701.22,0
94209253,58 14:09:05,5499,1010,-5277.9,0
70391198,269 13:49:23,6011,2010,-22459.16,0
86738648,7 19:05:59,4814,1030,-2245.92,0
58979178,5 19:00:59,5411,1110,-2209.98,0
75360806,252 08:30:16,4829,2370,-134754.95,1
94050884,419 12:33:07,6011,2010,-67377.47,0
95803225,267 11:43:37,4814,1030,-1122.96,1
58283353,319 15:49:48,6011,2010,-211116.08,1
10377190,393 00:00:00,5211,1110,-7119.55,0
5115320,227 11:47:26,6011,2010,-11229.58,1
3484785,311 09:17:60,4814,1030,-2245.92,1
46882226,383 12:52:23,6011,2010,-168443.68,1
24505439,254 16:43:21,4814,1030,-898.37,0
1699717,149 17:31:60,5311,1110,-11117.28,0
22970531,270 16:56:18,4814,1030,-7433.98,0
1764918,420 11:35:14,5912,1010,-2290.83,0
22383843,114 19:59:53,5411,1010,-2448.05,0
14001176,441 19:34:10,6011,2010,-11229.58,0
36622596,125 13:32:58,6010,7030,11229.58,1
82235884,96 17:10:31,6010,7070,8451.38,1
32550221,186 11:09:10,5411,1110,-36075.92,1
73534440,41 16:15:56,6010,7030,6417.26,1
73110554,38 22:22:01,5411,1110,-2582.8,1
14205771,231 09:09:10,6011,2010,-22459.16,1
16214146,291 15:03:53,4814,1030,-224.59,1
98362353,224 00:00:00,5499,1110,-4572.68,0
69705338,315 15:31:42,5814,1010,-28523.13,1
